Epoch [1/30], Loss: 0.5945, Val Loss: 0.2017, Val Acc: 0.9395
Epoch [2/30], Loss: 0.1763, Val Loss: 0.1158, Val Acc: 0.9607
Epoch [3/30], Loss: 0.1241, Val Loss: 0.1096, Val Acc: 0.9676
Epoch [4/30], Loss: 0.0903, Val Loss: 0.0997, Val Acc: 0.9700
Epoch [5/30], Loss: 0.0761, Val Loss: 0.0816, Val Acc: 0.9743
Epoch [6/30], Loss: 0.0635, Val Loss: 0.0866, Val Acc: 0.9748
Epoch [7/30], Loss: 0.0577, Val Loss: 0.0728, Val Acc: 0.9776
Epoch [8/30], Loss: 0.0493, Val Loss: 0.0771, Val Acc: 0.9771
Epoch [9/30], Loss: 0.0425, Val Loss: 0.0744, Val Acc: 0.9805
Epoch [10/30], Loss: 0.0384, Val Loss: 0.0677, Val Acc: 0.9786
Epoch [11/30], Loss: 0.0346, Val Loss: 0.0775, Val Acc: 0.9788
Epoch [12/30], Loss: 0.0323, Val Loss: 0.0725, Val Acc: 0.9798
Epoch [13/30], Loss: 0.0273, Val Loss: 0.0749, Val Acc: 0.9771
Epoch [14/30], Loss: 0.0267, Val Loss: 0.0710, Val Acc: 0.9800
Epoch [15/30], Loss: 0.0222, Val Loss: 0.0744, Val Acc: 0.9805
Epoch [16/30], Loss: 0.0207, Val Loss: 0.0680, Val Acc: 0.9810
Epoch [17/30], Loss: 0.0196, Val Loss: 0.0727, Val Acc: 0.9802
Epoch [18/30], Loss: 0.0207, Val Loss: 0.0650, Val Acc: 0.9829
Epoch [19/30], Loss: 0.0217, Val Loss: 0.0781, Val Acc: 0.9814
Epoch [20/30], Loss: 0.0164, Val Loss: 0.0697, Val Acc: 0.9829
Epoch [21/30], Loss: 0.0151, Val Loss: 0.0719, Val Acc: 0.9838
Epoch [22/30], Loss: 0.0130, Val Loss: 0.0923, Val Acc: 0.9798
Epoch [23/30], Loss: 0.0105, Val Loss: 0.0852, Val Acc: 0.9790
Epoch [24/30], Loss: 0.0138, Val Loss: 0.0783, Val Acc: 0.9824
Epoch [25/30], Loss: 0.0134, Val Loss: 0.0811, Val Acc: 0.9819
Epoch [26/30], Loss: 0.0140, Val Loss: 0.0859, Val Acc: 0.9824
Epoch [27/30], Loss: 0.0133, Val Loss: 0.0763, Val Acc: 0.9836
Epoch [28/30], Loss: 0.0088, Val Loss: 0.0820, Val Acc: 0.9810
Epoch [29/30], Loss: 0.0103, Val Loss: 0.0783, Val Acc: 0.9840
Epoch [30/30], Loss: 0.0122, Val Loss: 0.0815, Val Acc: 0.9840
